hour,samples,delta_molts,delta_likes,delta_views,rate_molts_per_min,rate_likes_per_min,rate_views_per_min,rate_molts_per_hour,rate_likes_per_hour,rate_views_per_hour
2026-02-07T23:00Z,10,19,47,39612,2.26,5.6,4715.71,135.71,335.71,282942.86
2026-02-08T00:00Z,64,341,459,255007,5.77,7.77,4314.84,346.19,465.99,258890.36
2026-02-08T01:00Z,64,433,463,316330,7.32,7.83,5350.94,439.47,469.92,321056.67
2026-02-08T02:00Z,64,301,595,353272,5.08,10.04,5962.4,304.81,602.53,357743.8
2026-02-08T03:00Z,64,253,442,362993,4.24,7.41,6085.38,254.48,444.59,365122.88
2026-02-08T04:00Z,63,644,479,344197,11,8.18,5877.01,659.76,490.72,352620.72
2026-02-08T05:00Z,64,341,431,352229,5.72,7.23,5911.54,343.38,434.01,354692.14
2026-02-08T06:00Z,63,397,667,345304,6.78,11.39,5894.24,406.6,683.13,353654.17
2026-02-08T07:00Z,64,245,400,355675,4.13,6.75,5999.58,247.96,404.84,359974.7
2026-02-08T08:00Z,63,309,424,338500,5.27,7.23,5769.89,316.02,433.64,346193.18
2026-02-08T09:00Z,65,501,508,344663,8.4,8.52,5779.7,504.08,511.12,346782.22
2026-02-08T10:00Z,64,562,486,326470,9.6,8.3,5577.51,576.08,498.18,334650.34
2026-02-08T11:00Z,64,691,444,352156,11.72,7.53,5970.43,702.91,451.65,358225.94
2026-02-08T12:00Z,63,586,483,338713,9.9,8.16,5721.5,593.92,489.53,343290.2
2026-02-08T13:00Z,31,210,235,181238,7.11,7.96,6136.73,426.64,477.43,368203.61
